name,birthday,political_party,children
George Washington,1942-11-20,Democratic,0
John Adams,1942-11-20,Democratic,0
Thomas Jefferson,1942-11-20,Democratic,6
James Madison,1942-11-20,Democratic,0
James Monroe,1942-11-20,Democratic,0
John Quincy Adams,1942-11-20,Democratic,4
Andrew Jackson,1942-11-20,Democratic,2
Martin Van Buren,1942-11-20,Democratic,0
William Henry Harrison,1942-11-20,Democratic,0
John Tyler,1942-11-20,Democratic,0
James K. Polk,1942-11-20,Democratic,0
Zachary Taylor,1942-11-20,Democratic,0
Millard Fillmore,1942-11-20,Democratic,2
Franklin Pierce,1942-11-20,Democratic,0
James Buchanan,1942-11-20,Democratic,0
Abraham Lincoln,1942-11-20,Democratic,4
Andrew Johnson,1942-11-20,Democratic,0
Ulysses S. Grant,1942-11-20,Democratic,4
Rutherford B. Hayes,1942-11-20,Democratic,0
James A. Garfield,1942-11-20,Democratic,0
Chester A. Arthur,1942-11-20,Democratic,3
Grover Cleveland,1942-11-20,Democratic,0
Benjamin Harrison,1942-11-20,Democratic,3
Grover Cleveland,1942-11-20,Democratic,0
William McKinley,1942-11-20,Democratic,0
Theodore Roosevelt,1942-11-20,Democratic,6
William Howard Taft,1942-11-20,Democratic,3
Woodrow Wilson,1942-11-20,Democratic,3
Warren G. Harding,1942-11-20,Democratic,0
Calvin Coolidge,1942-11-20,Democratic,2
Herbert Hoover,1942-11-20,Democratic,2
Franklin D. Roosevelt,1942-11-20,Democratic,0
Harry S. Truman,1942-11-20,Democratic,0
Dwight D. Eisenhower,1942-11-20,Democratic,2
John F. Kennedy,1942-11-20,Democratic,4
Lyndon B. Johnson,1942-11-20,Democratic,2
Richard Nixon,1942-11-20,Democratic,2
Gerald Ford,1942-11-20,Democratic,4
Jimmy Carter,1942-11-20,Democratic,4
Ronald Reagan,1942-11-20,Democratic,5
George H. W. Bush,1942-11-20,Democratic,6
Bill Clinton,1942-11-20,Democratic,0
George W. Bush,1942-11-20,Democratic,2
Barack Obama,1942-11-20,Democratic,2
Donald Trump,1942-11-20,Democratic,5
Joe Biden,1942-11-20,Democratic,4
